customer_id,age,tenure_months,monthly_spend,support_tickets_90d,email_engagement,prior_discount_user,region,segment,region_north,region_south,region_west,segment_smallbiz,segment_enterprise,treatment,outcome,true_uplift_logit,p_if_treated,p_if_control,pred_uplift
1074,49,15,130.37,4,0.675,1,north,consumer,1,0,0,0,0,0,0,1.48,0.6927386516561231,0.2449640815898589,0.4477745700662642
8330,56,13,141.75,5,0.6171,1,east,consumer,0,0,0,0,0,0,0,1.48,0.6887585583413841,0.25053573588095984,0.43822282246042427
5555,51,19,126.83,3,0.4893,1,east,consumer,0,0,0,0,0,0,0,1.48,0.6995344486691946,0.26836300658523027,0.4311714420839643
1549,48,7,110.81,6,0.6745,1,north,smallbiz,1,0,0,1,0,1,0,1.7,0.683709535544172,0.26581848103373795,0.41789105451043407
9386,60,9,124.84,5,0.6576,1,north,consumer,1,0,0,0,0,0,0,1.48,0.6670083499540811,0.25317226866545295,0.41383608128862814
11318,28,18,132.28,4,0.5287,1,east,smallbiz,0,0,0,1,0,0,0,1.7,0.6355620967551564,0.22250750118454904,0.41305459557060736
6143,50,9,77.41,4,0.5898,1,south,consumer,0,1,0,0,0,1,1,1.48,0.6118164447523032,0.19957078804129327,0.41224565671101
5350,53,16,160.91,3,0.5192,1,south,consumer,0,1,0,0,0,1,1,1.48,0.7171640729116482,0.3065086986459848,0.4106553742656634
852,65,3,111.1,5,0.5449,1,east,smallbiz,0,0,0,1,0,0,1,1.7,0.7064963106735488,0.29785846630869656,0.40863784436485223
10257,63,22,118.39,3,0.568,1,west,consumer,0,0,1,0,0,1,1,1.48,0.7207549373495681,0.31486541468883333,0.40588952266073475
5066,58,24,61.37,4,0.6573,1,west,smallbiz,0,0,1,1,0,0,0,1.35,0.6884879683095342,0.2868673662504853,0.40162060205904887
10580,54,28,142.0,3,0.6302,1,south,smallbiz,0,1,0,1,0,1,0,1.35,0.7666289198711218,0.367144584796838,0.3994843350742838
4403,42,19,109.91,3,0.7039,1,west,consumer,0,0,1,0,0,0,0,1.48,0.7109453721065956,0.3140621943625827,0.3968831777440129
10950,58,7,106.38,3,0.6034,1,south,consumer,0,1,0,0,0,0,0,1.48,0.6713171979698052,0.27499294547559444,0.3963242524942107
6975,37,10,139.03,2,0.5574,1,north,enterprise,1,0,0,0,1,1,0,1.48,0.674510632282613,0.2849332725281923,0.3895773597544207
