id,year_birth,education,marital_status,income,kidhome,teenhome,dt_customer,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,acceptedcmp3,acceptedcmp4,acceptedcmp5,acceptedcmp1,acceptedcmp2,complain,z_costcontact,z_revenue,response,customer_id,prior_accepts,accepted_any_prior,response_last_campaign,campaign_touch_total,children,total_spend,high_recency,web_loyal,store_loyal,deal_engaged,web_heavy,catalog_engaged,revenue_band,education_phd,education_master,education_graduation,married,single,treatment,outcome,true_uplift_logit,p_if_treated,p_if_control,pred_uplift,propensity
2570,1968,Graduation,Together,56534.0,0,1,2013-07-23,35,691,7,61,10,0,46,4,10,4,7,8,0,1,0,0,1,0,3,11,1,2570,2,True,1,3,1,815,0,1,1,1,1,1,11,0,0,1,1,0,1,0,1.4,0.8295645617343065,0.3647089724860703,0.42895485752882,0.7118552821886529
873,1949,Master,Married,62845.0,1,1,2012-10-01,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,0,3,11,1,873,1,True,1,2,2,1178,1,0,1,1,1,1,11,0,1,0,1,0,1,1,1.4299999999999995,0.8301688673817714,0.4047650535120751,0.39496617226699715,0.7262315268838117
564,1981,PhD,Together,56937.0,1,0,2012-08-04,81,746,8,125,11,8,8,7,8,6,9,6,0,1,0,0,0,0,3,11,1,564,1,True,1,2,1,906,0,1,1,1,0,1,11,1,0,0,1,0,0,1,1.25,0.8543943880190106,0.4307907642860291,0.3890051717118186,0.6773500030717242
9323,1949,Master,Together,49912.0,0,1,2012-09-07,5,520,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,0,3,11,1,9323,1,True,1,2,1,874,1,1,1,1,1,1,11,0,1,0,1,0,1,1,1.61,0.7896341894337747,0.3807230132054885,0.3775872277347263,0.6967640378548315
3968,1970,2n Cycle,Divorced,65706.0,0,0,2013-06-28,77,918,10,129,13,0,129,1,11,3,12,7,0,1,1,0,1,0,3,11,1,3968,3,True,1,4,0,1199,0,1,1,0,0,1,11,0,0,0,0,1,0,0,1.33,0.8403405601242149,0.4805271650136687,0.37619527993017654,0.7613247382817433
8534,1952,Graduation,Married,67433.0,0,2,2013-07-16,51,615,28,259,12,48,30,4,6,5,13,4,0,1,0,0,0,0,3,11,0,8534,1,True,0,2,2,992,0,1,1,1,0,1,11,0,0,1,1,0,1,0,0.94,0.7928827180572352,0.39388978637472627,0.3739544906871253,0.6395969135877254
5121,1977,Graduation,Single,56628.0,0,1,2014-03-21,30,479,5,82,7,17,171,2,7,6,5,5,1,0,0,0,0,0,3,11,0,5121,1,True,0,2,1,761,1,1,1,0,0,1,11,0,0,1,0,1,1,0,1.29,0.7820391146437942,0.38957667859719514,0.3722482299184844,0.6062593962802422
10240,1949,Graduation,Together,69372.0,0,0,2013-02-19,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,3,11,1,10240,2,True,1,3,0,1381,1,1,1,0,0,1,11,0,0,1,1,0,1,1,1.82,0.8709166617084217,0.5316470767427837,0.3549863386694972,0.8028265878510152
6299,1968,PhD,Divorced,42564.0,0,1,2013-01-02,28,324,48,186,39,18,198,6,6,8,4,7,1,0,0,0,0,0,3,11,1,6299,1,True,1,2,1,813,1,1,0,1,0,1,11,1,0,0,0,1,1,1,1.6999999999999995,0.769461096169395,0.3830627074483461,0.3488559880815898,0.5887634889722115
340,1970,Graduation,Divorced,72967.0,0,1,2012-12-15,1,158,35,179,0,0,125,2,7,2,8,5,1,0,0,0,0,0,3,11,1,340,1,True,1,2,1,497,1,1,1,0,0,0,11,0,0,1,0,1,1,1,1.4999999999999998,0.7924493987025074,0.48509760661116286,0.3418488488968022,0.6945668897798634
