id,year_birth,education,marital_status,income,kidhome,teenhome,dt_customer,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,acceptedcmp3,acceptedcmp4,acceptedcmp5,acceptedcmp1,acceptedcmp2,complain,z_costcontact,z_revenue,response,customer_id,prior_accepts,accepted_any_prior,response_last_campaign,campaign_touch_total,children,total_spend,high_recency,web_loyal,store_loyal,deal_engaged,web_heavy,catalog_engaged,revenue_band,education_phd,education_master,education_graduation,married,single,treatment,outcome,true_uplift_logit,p_if_treated,p_if_control,pred_uplift,propensity
5121,1977,Graduation,Single,56628.0,0,1,2014-03-21,30,479,5,82,7,17,171,2,7,6,5,5,1,0,0,0,0,0,3,11,0,5121,1,True,0,2,1,761,1,1,1,0,0,1,11,0,0,1,0,1,1,0,1.29,0.7820391146437942,0.38957667859719514,0.6672772249401222,0.6062593962802422
2570,1968,Graduation,Together,56534.0,0,1,2013-07-23,35,691,7,61,10,0,46,4,10,4,7,8,0,1,0,0,1,0,3,11,1,2570,2,True,1,3,1,815,0,1,1,1,1,1,11,0,0,1,1,0,1,0,1.4,0.8295645617343065,0.3647089724860703,0.6358732075796634,0.7118552821886529
564,1981,PhD,Together,56937.0,1,0,2012-08-04,81,746,8,125,11,8,8,7,8,6,9,6,0,1,0,0,0,0,3,11,1,564,1,True,1,2,1,906,0,1,1,1,0,1,11,1,0,0,1,0,0,1,1.25,0.8543943880190106,0.4307907642860291,0.5921467845306483,0.6773500030717242
9353,1959,Graduation,Single,62450.0,0,1,2014-01-06,61,515,47,267,62,66,38,2,5,5,4,3,0,1,0,0,0,0,3,11,0,9353,1,True,0,2,1,995,0,1,0,0,0,1,11,0,0,1,0,1,1,0,0.84,0.7583403304544319,0.39158750522804153,0.5782756319137226,0.5478479870146805
7215,1983,Graduation,Single,101970.0,0,0,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1,7215,3,True,1,4,0,1135,0,1,1,0,0,1,11,0,0,1,0,1,0,1,1.5500000000000005,0.890010807669813,0.5618310117451834,0.5758817410960728,0.7751113221507471
1172,1983,PhD,Married,92491.0,0,0,2013-05-01,71,979,44,935,29,25,22,1,7,5,12,3,0,1,1,1,0,0,3,11,1,1172,3,True,1,4,0,2034,0,1,1,0,0,1,11,1,0,0,1,0,1,1,1.33,0.9094526901305754,0.5997701202517869,0.5700667944629381,0.7832975153064058
3334,1951,Graduation,Married,94642.0,0,0,2014-02-12,35,879,143,797,106,143,143,0,5,7,9,1,0,0,1,1,0,0,3,11,0,3334,2,True,0,3,0,2211,0,1,1,0,0,1,11,0,0,1,1,0,1,1,1.02,0.869806292988248,0.6267283961246201,0.5639012329612328,0.7229266922575899
8534,1952,Graduation,Married,67433.0,0,2,2013-07-16,51,615,28,259,12,48,30,4,6,5,13,4,0,1,0,0,0,0,3,11,0,8534,1,True,0,2,2,992,0,1,1,1,0,1,11,0,0,1,1,0,1,0,0.94,0.7928827180572352,0.39388978637472627,0.5396569055388456,0.6395969135877254
1340,1986,Graduation,Married,92910.0,0,0,2014-04-24,42,551,137,792,179,103,33,1,6,7,13,1,0,1,1,1,0,0,3,11,0,1340,3,True,0,4,0,1795,0,1,1,0,0,1,11,0,0,1,1,0,0,1,1.2000000000000002,0.8640848005841245,0.6292399951245341,0.5394052909171436,0.7657224427119849
6248,1947,Master,Single,91712.0,0,0,2013-10-17,47,1276,24,746,94,29,48,0,9,7,11,3,0,0,1,0,0,0,3,11,1,6248,1,True,1,2,0,2217,0,1,1,0,0,1,11,0,1,0,0,1,1,1,1.13,0.9156538894554832,0.6136783103493604,0.5376336687779515,0.758455887905742
