id,year_birth,education,marital_status,income,kidhome,teenhome,dt_customer,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,acceptedcmp3,acceptedcmp4,acceptedcmp5,acceptedcmp1,acceptedcmp2,complain,z_costcontact,z_revenue,response,customer_id,prior_accepts,accepted_any_prior,response_last_campaign,campaign_touch_total,children,total_spend,high_recency,web_loyal,store_loyal,deal_engaged,web_heavy,catalog_engaged,revenue_band,education_phd,education_master,education_graduation,married,single,treatment,outcome,true_uplift_logit,p_if_treated,p_if_control,pred_uplift
2570,1968,Graduation,Together,56534.0,0,1,2013-07-23,35,691,7,61,10,0,46,4,10,4,7,8,0,1,0,0,1,0,3,11,1,2570,2,True,1,3,1,815,0,1,1,1,1,1,11,0,0,1,1,0,1,0,1.4,0.8186627083843365,0.37258344424802375,0.44607926413631277
564,1981,PhD,Together,56937.0,1,0,2012-08-04,81,746,8,125,11,8,8,7,8,6,9,6,0,1,0,0,0,0,3,11,1,564,1,True,1,2,1,906,0,1,1,1,0,1,11,1,0,0,1,0,0,1,1.25,0.8387874077360474,0.4348721496666111,0.40391525806943634
873,1949,Master,Married,62845.0,1,1,2012-10-01,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,0,3,11,1,873,1,True,1,2,2,1178,1,0,1,1,1,1,11,0,1,0,1,0,1,1,1.4299999999999995,0.8173817871159238,0.4186535526291486,0.3987282344867752
9323,1949,Master,Together,49912.0,0,1,2012-09-07,5,520,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,0,3,11,1,9323,1,True,1,2,1,874,1,1,1,1,1,1,11,0,1,0,1,0,1,1,1.61,0.7730426704351612,0.37935467907657394,0.39368799135858723
5121,1977,Graduation,Single,56628.0,0,1,2014-03-21,30,479,5,82,7,17,171,2,7,6,5,5,1,0,0,0,0,0,3,11,0,5121,1,True,0,2,1,761,1,1,1,0,0,1,11,0,0,1,0,1,1,0,1.29,0.7942476397322072,0.41148439985587154,0.3827632398763357
6906,1953,Master,Widow,84953.0,0,0,2013-06-03,73,167,48,602,63,72,72,1,3,10,4,2,0,1,1,1,0,0,3,11,1,6906,3,True,1,4,0,1024,0,0,0,0,0,1,11,0,1,0,0,1,1,1,1.4900000000000002,0.8628559482624907,0.4901655304711021,0.37269041779138856
8534,1952,Graduation,Married,67433.0,0,2,2013-07-16,51,615,28,259,12,48,30,4,6,5,13,4,0,1,0,0,0,0,3,11,0,8534,1,True,0,2,2,992,0,1,1,1,0,1,11,0,0,1,1,0,1,0,0.94,0.7843958295600697,0.41485831104805115,0.36953751851201855
6299,1968,PhD,Divorced,42564.0,0,1,2013-01-02,28,324,48,186,39,18,198,6,6,8,4,7,1,0,0,0,0,0,3,11,1,6299,1,True,1,2,1,813,1,1,0,1,0,1,11,1,0,0,0,1,1,1,1.6999999999999995,0.7486264179009636,0.3835345443262975,0.3650918735746661
4673,1963,PhD,Married,81300.0,0,1,2012-10-30,17,1004,12,145,32,12,36,3,10,3,5,5,0,0,0,1,0,0,3,11,1,4673,1,True,1,2,1,1241,1,1,1,1,0,1,11,1,0,0,1,0,1,1,1.6999999999999995,0.8564220619830246,0.49166767345643403,0.3647543885265906
9353,1959,Graduation,Single,62450.0,0,1,2014-01-06,61,515,47,267,62,66,38,2,5,5,4,3,0,1,0,0,0,0,3,11,0,9353,1,True,0,2,1,995,0,1,0,0,0,1,11,0,0,1,0,1,1,0,0.84,0.7609174756652021,0.40308948461413846,0.3578279910510636
1175,1983,Master,Married,36262.0,0,0,2013-09-20,24,88,39,54,64,28,153,1,3,5,3,6,1,0,0,0,0,0,3,11,1,1175,1,True,1,2,0,426,1,0,0,0,0,1,11,0,1,0,1,0,0,0,1.88,0.69629242985239,0.3391764071728766,0.3571160226795134
830,1987,PhD,Single,74004.0,0,0,2014-02-24,5,784,48,560,42,176,48,1,4,6,4,3,0,0,1,1,0,0,3,11,1,830,2,True,1,3,0,1658,1,0,0,0,0,1,11,1,0,0,0,1,1,1,1.6,0.8781703724977648,0.5219175571716548,0.35625281532611
3968,1970,2n Cycle,Divorced,65706.0,0,0,2013-06-28,77,918,10,129,13,0,129,1,11,3,12,7,0,1,1,0,1,0,3,11,1,3968,3,True,1,4,0,1199,0,1,1,0,0,1,11,0,0,0,0,1,0,0,1.33,0.8227879067431154,0.4733463121175846,0.3494415946255308
2798,1977,PhD,Together,102160.0,0,0,2012-11-02,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,3,11,1,2798,3,True,1,4,0,1240,0,1,1,0,0,1,11,1,0,0,1,0,1,1,1.33,0.8948799989238383,0.5490745758595305,0.34580542306430784
7215,1983,Graduation,Single,101970.0,0,0,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1,7215,3,True,1,4,0,1135,0,1,1,0,0,1,11,0,0,1,0,1,0,1,1.5500000000000005,0.8878955197608508,0.5435934709667719,0.3443020487940789
