decile,customers,avg_pred_uplift,treated_rate,control_rate,observed_uplift
10,56,0.31271159077704985,0.6666666666666666,0.30434782608695654,0.3623188405797101
9,55,0.2514727379769717,0.6857142857142857,0.5,0.18571428571428572
8,55,0.21559075343437933,0.6551724137931034,0.3076923076923077,0.3474801061007957
7,56,0.18507658855262527,0.625,0.375,0.25
6,55,0.15105473016886414,0.7037037037037037,0.17857142857142858,0.5251322751322751
5,55,0.11461557801813109,0.25,0.3225806451612903,-0.07258064516129031
4,56,0.08313090776839334,0.3870967741935484,0.36,0.02709677419354839
3,55,0.04632238641740897,0.47619047619047616,0.35294117647058826,0.1232492997198879
2,55,0.012864191211793422,0.4782608695652174,0.25,0.2282608695652174
1,56,-0.03408673637236542,0.48,0.2903225806451613,0.18967741935483867
