decile,customers,avg_pred_uplift,treated_rate,control_rate,observed_uplift
10,56,0.4713922194823718,0.6666666666666666,0.43478260869565216,0.23188405797101447
9,55,0.34006828098556147,0.7096774193548387,0.2916666666666667,0.41801075268817206
8,55,0.2627586022091759,0.5161290322580645,0.3333333333333333,0.1827956989247312
7,56,0.20530439473879078,0.696969696969697,0.21739130434782608,0.47957839262187096
6,55,0.15748082108615158,0.6896551724137931,0.4230769230769231,0.2665782493368701
5,55,0.10712421964913096,0.34782608695652173,0.3125,0.03532608695652173
4,56,0.05884418560568483,0.375,0.28125,0.09375
3,55,0.009803482680509007,0.4583333333333333,0.1935483870967742,0.2647849462365591
2,55,-0.05278484017772054,0.3,0.3142857142857143,-0.01428571428571429
1,56,-0.19273851752486929,0.5625,0.4166666666666667,0.14583333333333331
