decile,customers,avg_pred_uplift,treated_rate,control_rate,observed_uplift
10,56,0.33140935071154665,0.7073170731707317,0.4666666666666667,0.240650406504065
9,55,0.2628619252807863,0.7647058823529411,0.5238095238095238,0.2408963585434173
8,55,0.20816844011708963,0.6296296296296297,0.2857142857142857,0.34391534391534395
7,56,0.17646963593604204,0.5161290322580645,0.28,0.23612903225806448
6,55,0.15277377143765528,0.5384615384615384,0.3103448275862069,0.22811671087533153
5,55,0.13234690782316827,0.5,0.41935483870967744,0.08064516129032256
4,56,0.10470660648268204,0.5806451612903226,0.36,0.22064516129032263
3,55,0.07979151155507135,0.25,0.22857142857142856,0.021428571428571436
2,55,0.058228440685814876,0.36363636363636365,0.15151515151515152,0.21212121212121213
1,56,0.025593365738587687,0.4166666666666667,0.3125,0.10416666666666669
